GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                         
0010	01934337	Acoma Pueblo and Off-Reservation Trust Land	3011	1167	1542316336	426646	     595.492	       0.165	 34.774303	-107.660210                                                                  
0020	01934324	Agua Caliente Indian Reservation and Off-Reservation Trust Land	24781	22979	138091910	943876	      53.318	       0.364	 33.784870	-116.534446                                             
0050	01350923	Alabama-Coushatta Reservation and Off-Reservation Trust Land	608	239	32381335	83761	      12.503	       0.032	 30.731759	 -94.701370                                                      
0080	00978667	Allegany Reservation	6490	3128	105895797	19741044	      40.887	       7.622	 42.124118	 -78.670416                                                                                        
0095	00218194	Alturas Indian Rancheria	0	1	100606	0	       0.039	       0.000	 41.477654	-120.524404                                                                                                    
0110	01934114	Annette Island Reserve	1460	544	343947256	213611738	     132.799	      82.476	 55.138069	-131.470741                                                                                      
0115	02562463	Aroostook Band of Micmac Trust Land	197	84	4235781	0	       1.635	       0.000	 46.920245	 -67.887306                                                                                     
0120	00218454	Auburn Rancheria and Off-Reservation Trust Land	0	0	4583548	0	       1.770	       0.000	 39.022712	-121.319028                                                                            
0125	00238830	Augustine Reservation	0	0	2271942	0	       0.877	       0.000	 33.649863	-116.191202                                                                                                      
0140	01577209	Bad River Reservation	1479	665	499296160	9997639	     192.779	       3.860	 46.524276	 -90.669118                                                                                         
0155	00255962	Barona Reservation	640	219	24115452	0	       9.311	       0.000	 32.955270	-116.844301                                                                                                    
0165	00838653	Battle Mountain Reservation	148	65	2727549	0	       1.053	       0.000	 40.664247	-116.969856                                                                                             
0170	01622234	Bay Mills Reservation and Off-Reservation Trust Land	1014	371	14017183	291388	       5.412	       0.113	 46.446368	 -84.609965                                                            
0185	02419307	Benton Paiute Reservation and Off-Reservation Trust Land	76	34	1467537	0	       0.567	       0.000	 37.789346	-118.521968                                                                 
0200	00256849	Berry Creek Rancheria and Off-Reservation Trust Land	152	42	441878	0	       0.171	       0.000	 39.503746	-121.501543                                                                     
0215	00256889	Big Bend Rancheria	9	3	182729	0	       0.071	       0.000	 41.026421	-121.918896                                                                                                          
0225	01934321	Big Cypress Reservation	591	273	212782184	581510	      82.156	       0.225	 26.299389	 -80.959286                                                                                         
0240	00219211	Big Lagoon Rancheria	17	7	21072	0	       0.008	       0.000	 41.164259	-124.120788                                                                                                        
0250	00256983	Big Pine Reservation	499	202	1120999	0	       0.433	       0.000	 37.158960	-118.285065                                                                                                   
0265	01667416	Big Sandy Rancheria	118	39	1024248	0	       0.395	       0.000	 37.082553	-119.464114                                                                                                     
0275	00219277	Big Valley Rancheria	139	51	482651	0	       0.186	       0.000	 39.020365	-122.887141                                                                                                     
0290	00264455	Bishop Reservation	1588	602	3503002	34784	       1.353	       0.013	 37.364413	-118.420485                                                                                                
0305	00806895	Blackfeet Indian Reservation and Off-Reservation Trust Land	10405	3720	6144957831	71351094	    2372.582	      27.549	 48.652474	-112.896300                                               
0325	02419316	Blue Lake Rancheria and Off-Reservation Trust Land	58	28	221357	9060	       0.085	       0.003	 40.884161	-123.998859                                                                     
0335	02105053	Bois Forte Reservation	874	451	517131335	31652425	     199.666	      12.221	 48.052388	 -93.253597                                                                                        
0350	02419320	Bridgeport Reservation	35	20	142706	0	       0.055	       0.000	 38.266336	-119.215937                                                                                                    
0360	00300151	Brighton Reservation	694	293	147956929	58129	      57.126	       0.022	 27.086039	 -81.066257                                                                                             
0400	01118340	Burns Paiute Indian Colony and Off-Reservation Trust Land	128	53	49066036	67875	      18.945	       0.026	 43.547219	-118.791242                                                          
0415	01985192	Cabazon Reservation	835	219	7773332	0	       3.001	       0.000	 33.687493	-116.168764                                                                                                    
0435	00270144	Cahuilla Reservation	187	62	74936008	0	      28.933	       0.000	 33.520243	-116.711755                                                                                                   
0440	00848690	Campbell Ranch	443	91	6708984	0	       2.590	       0.000	 39.078195	-119.208243                                                                                                          
0450	00270242	Campo Indian Reservation	362	140	66733682	0	      25.766	       0.000	 32.673641	-116.363261                                                                                              
