GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG 
0010	01934337	Acoma Pueblo	3005	1162	1065682959	331929	411.463	0.128	34.866771	-107.688878 
0020	01934324	Agua Caliente Indian Reservation	24545	22787	126642854	943876	48.897	0.364	33.787734	-116.532012
0050	01350923	Alabama-Coushatta Reservation	572	225	18528578	83761	7.154	0.032	30.733383	-94.710044 
0080	00978667	Allegany Reservation	6490	3128	105895797	19741044	40.887	7.622	42.124118	-78.670416
0095	00218194	Alturas Indian Rancheria	0	1	100606	0	0.039	0.000	41.477654	-120.524404
0110	01934114	Annette Island Reserve	1460	544	343947256	213611738	132.799	82.476	55.138069	-131.470741
0120	00218454	Auburn Rancheria	0	0	279781	0	0.108	0.000	38.840352	-121.314821
0125	00238830	Augustine Reservation	0	0	2271942	0	0.877	0.000	33.649863	-116.191202
0140	01577209	Bad River Reservation	1479	665	499296160	9997639	192.779	3.860	46.524276	-90.669118 
0155	00255962	Barona Reservation	640	219	24115452	0	9.311	0.000	32.955270	-116.844301
0165	00838653	Battle Mountain Reservation	148	65	2727549	0	1.053	0.000	40.664247	-116.969856 
0170	01622234	Bay Mills Reservation	681	264	8950435	289940	3.456	0.112	46.446368	-84.609965 
0185	02419307	Benton Paiute Reservation	76	34	596680	0	0.230	0.000	37.793469	-118.520835 
0200	00256849	Berry Creek Rancheria	2	2	155924	0	0.060	0.000	39.625609	-121.327883 
0215	00256889	Big Bend Rancheria	9	3	182729	0	0.071	0.000	41.026421	-121.918896
0225	01934321	Big Cypress Reservation	591	273	212782184	581510	82.156	0.225	26.299389	-80.959286 
0240	00219211	Big Lagoon Rancheria	17	7	21072	0	0.008	0.000	41.164259	-124.120788
0250	00256983	Big Pine Reservation	499	202	1120999	0	0.433	0.000	37.158960	-118.285065 
0265	01667416	Big Sandy Rancheria	118	39	1024248	0	0.395	0.000	37.082553	-119.464114 
0275	00219277	Big Valley Rancheria	139	51	482651	0	0.186	0.000	39.020365	-122.887141 
0290	00264455	Bishop Reservation	1588	602	3503002	34784	1.353	0.013	37.364413	-118.420485
0305	00806895	Blackfeet Indian Reservation	10405	3720	6144645761	71351094	2372.461	27.549	48.652474	-112.896300
0325	02419316	Blue Lake Rancheria	47	21	127985	0	0.049	0.000	40.883196	-123.997974 
0335	02105053	Bois Forte Reservation	874	451	517131335	31652425	199.666	12.221	48.052388	-93.253597
0350	02419320	Bridgeport Reservation	35	20	142706	0	0.055	0.000	38.266336	-119.215937
0360	00300151	Brighton Reservation	694	293	147956929	58129	57.126	0.022	27.086039	-81.066257 
0400	01118340	Burns Paiute Indian Colony	126	52	3304028	0	1.276	0.000	43.602683	-119.063815
0415	01985192	Cabazon Reservation	835	219	7773332	0	3.001	0.000	33.687493	-116.168764
0435	00270144	Cahuilla Reservation	187	62	74936008	0	28.933	0.000	33.520243	-116.711755 
0440	00848690	Campbell Ranch	443	91	6708984	0	2.590	0.000	39.078195	-119.208243
0450	00270242	Campo Indian Reservation	362	140	66733682	0	25.766	0.000	32.673641	-116.363261
0495	00240225	Capitan Grande Reservation	0	0	64429149	832	24.876	0.000	32.922997	-116.754334
0510	00859157	Carson Colony	242	86	730858	0	0.282	0.000	39.139341	-119.775711
0525	01233634	Catawba Reservation	841	316	4082167	0	1.576	0.000	34.908355	-80.881480
0540	00978804	Cattaraugus Reservation	2185	865	86904067	2226871	33.554	0.860	42.538213	-79.009914
0555	00220808	Cedarville Rancheria	13	8	94077	0	0.036	0.000	41.526250	-120.183722
0575	01503930	Chehalis Reservation	642	245	17661932	532662	6.819	0.206	46.815734	-123.209733 
0585	00255956	Chemehuevi Reservation	308	720	124707588	0	48.150	0.000	34.540603	-114.408528 
0605	01267254	Cheyenne River Reservation	8088	2982	11031052770	393805638	4259.113	152.049	45.082644	-101.236077 
